date,forward_pe
2003-06-11,18.739271
2003-06-12,18.744767
2003-06-13,18.620055
2003-06-16,18.915952
2003-06-17,18.793283
2003-06-18,18.840282
2003-06-19,18.57198
2003-06-20,18.565759
2003-06-23,18.476419
2003-06-24,18.694008
2003-06-25,18.449808
2003-06-26,18.538739
2003-06-27,18.420058
2003-06-30,18.448416
2003-07-01,18.585045
2003-07-02,18.741599
2003-07-03,18.591457
2003-07-07,18.781312
2003-07-08,18.779507
2003-07-09,18.48689
2003-07-10,18.461227
2003-07-11,18.544436
2003-07-14,18.518001
2003-07-15,18.548774
2003-07-16,18.39673
2003-07-17,18.192322
2003-07-18,18.386641
2003-07-21,18.224294
2003-07-22,18.360037
2003-07-23,18.262719
2003-07-24,18.095608
2003-07-25,18.289127
2003-07-28,18.1763
2003-07-29,18.046836
2003-07-30,18.138096
2003-07-31,18.052249
2003-08-01,17.901849
2003-08-04,18.035347
2003-08-05,17.795621
2003-08-06,17.875659
2003-08-07,18.018869
2003-08-08,18.18411
2003-08-11,18.153728
2003-08-12,18.30113
2003-08-13,18.173929
2003-08-14,18.173765
2003-08-15,18.182522
2003-08-18,18.194315
2003-08-19,18.125664
2003-08-20,18.09526
2003-08-21,18.10495
2003-08-22,17.949723
2003-08-25,18.094836
2003-08-26,18.111319
2003-08-27,18.138241
2003-08-28,18.239447
2003-08-29,18.24522
2003-09-02,18.445139
2003-09-03,18.472926
2003-09-04,18.531163
2003-09-05,18.35255
2003-09-08,18.365743
2003-09-09,18.154863
2003-09-10,18.179873
2003-09-11,17.898546
2003-09-12,17.893802
2003-09-15,18.233886
2003-09-16,18.289259
2003-09-17,18.371005
2003-09-18,18.52155
2003-09-19,18.433728
2003-09-22,18.279328
2003-09-23,18.3976
2003-09-24,18.225636
2003-09-25,18.233701
2003-09-26,18.157645
2003-09-29,18.227341
2003-09-30,18.079922
2003-10-01,18.436811
2003-10-02,18.463912
2003-10-03,18.529891
2003-10-06,18.616838
2003-10-07,18.717233
2003-10-08,18.624741
2003-10-09,18.652998
2003-10-10,18.602191
2003-10-13,18.676066
2003-10-14,18.75329
2003-10-15,18.707337
2003-10-16,18.630784
2003-10-17,18.557713
2003-10-20,18.622549
2003-10-21,18.631685
2003-10-22,18.440968
2003-10-23,18.496517
2003-10-24,18.425829
2003-10-27,18.335167
2003-10-28,18.546889
2003-10-29,18.583991
2003-10-30,18.585904
2003-10-31,18.65058
2003-11-03,18.718231
2003-11-04,18.653492
2003-11-05,18.58145
2003-11-06,18.708907
2003-11-07,18.735665
2003-11-10,18.651211
2003-11-11,18.649109
2003-11-12,18.793301
2003-11-13,18.505525
2003-11-14,18.413589
2003-11-17,18.45235
2003-11-18,18.339344
2003-11-19,18.455332
2003-11-20,18.355379
2003-11-21,18.384631
2003-11-24,18.60985
2003-11-25,18.640562
2003-11-26,18.651883
2003-11-28,18.658666
2003-12-01,18.68392
2003-12-02,18.526201
2003-12-03,18.526952
2003-12-04,18.589854
2003-12-05,18.594846
2003-12-08,18.72317
2003-12-09,18.583095
2003-12-10,18.635374
2003-12-11,18.677008
2003-12-12,18.732876
2003-12-15,18.638314
2003-12-16,18.806937
2003-12-17,18.778196
2003-12-18,18.863954
2003-12-19,18.763385
2003-12-22,18.813709
2003-12-23,18.80915
2003-12-24,18.731218
2003-12-26,18.766155
2003-12-29,18.905758
2003-12-30,18.913129
2003-12-31,18.987847
2004-01-02,18.824251
2004-01-05,18.882993
2004-01-06,18.937116
2004-01-07,18.847435
2004-01-08,18.840298
2004-01-09,18.716504
2004-01-12,18.785217
2004-01-13,18.753858
2004-01-14,18.79029
2004-01-15,18.795473
2004-01-16,18.789725
2004-01-20,18.72333
2004-01-21,18.880406
2004-01-22,18.818324
2004-01-23,18.948386
2004-01-26,19.156124
2004-01-27,19.098478
2004-01-28,18.807644
2004-01-29,19.03079
2004-01-30,18.90719
2004-02-02,19.000145
2004-02-03,19.050124
2004-02-04,19.129354
2004-02-05,19.273897
2004-02-06,19.437308
2004-02-09,19.423959
2004-02-10,19.49975
2004-02-11,19.482859
2004-02-12,19.451381
2004-02-13,19.340685
2004-02-17,19.533641
2004-02-18,19.478953
2004-02-19,19.467848
2004-02-20,19.577425
2004-02-23,19.695438
2004-02-24,19.574462
2004-02-25,19.627643
2004-02-26,19.628232
2004-02-27,19.690532
2004-03-01,19.911616
2004-03-02,19.731281
2004-03-03,19.804595
2004-03-04,19.780883
2004-03-05,19.809939
2004-03-08,19.787023
2004-03-09,19.765512
2004-03-10,19.757902
2004-03-11,19.365927
2004-03-12,19.371381
2004-03-15,19.085318
2004-03-16,19.101406
2004-03-17,19.31075
2004-03-18,19.364201
2004-03-19,19.260006
2004-03-22,19.01132
2004-03-23,18.969999
2004-03-24,18.977737
2004-03-25,19.254247
2004-03-26,19.17064
2004-03-29,19.410345
2004-03-30,19.497137
2004-03-31,19.486199
2004-04-01,19.469254
2004-04-02,19.485667
2004-04-05,19.561101
2004-04-06,19.674741
2004-04-07,19.559574
2004-04-08,19.462801
2004-04-12,19.53018
2004-04-13,19.365725
2004-04-14,19.484409
2004-04-15,19.514323
2004-04-16,19.650974
2004-04-19,19.709066
2004-04-20,19.546402
2004-04-21,19.542909
2004-04-22,19.662358
2004-04-23,19.689173
2004-04-26,19.592493
2004-04-27,19.659826
2004-04-28,19.440098
2004-04-29,19.502135
2004-04-30,19.447712
2004-05-03,19.560555
2004-05-04,19.443062
2004-05-05,19.46617
2004-05-06,19.397094
2004-05-07,19.216753
2004-05-10,19.166747
2004-05-11,19.091933
2004-05-12,18.980036
2004-05-13,18.750916
2004-05-14,18.843034
2004-05-17,18.748406
2004-05-18,18.833198
2004-05-19,18.647174
2004-05-20,18.735803
2004-05-21,18.736219
2004-05-24,18.591618
2004-05-25,18.831153
2004-05-26,18.867314
2004-05-27,19.046225
2004-05-28,18.983112
2004-06-01,18.995556
2004-06-02,19.127237
2004-06-03,19.073416
2004-06-04,19.104675
2004-06-07,19.307416
2004-06-08,19.37807
2004-06-09,19.269053
2004-06-10,19.275715
2004-06-14,19.141496
2004-06-15,19.207449
2004-06-16,19.1959
2004-06-17,19.114134
2004-06-18,19.106229
2004-06-21,19.048127
2004-06-22,19.076108
2004-06-23,19.087896
2004-06-24,18.97406
2004-06-25,18.766106
2004-06-28,18.852206
2004-06-29,18.857956
2004-06-30,18.925748
2004-07-01,18.775579
2004-07-02,18.742673
2004-07-06,18.765072
2004-07-07,18.765769
2004-07-08,18.753765
2004-07-09,18.788499
2004-07-12,18.822274
2004-07-13,18.864791
2004-07-14,18.790486
2004-07-15,18.678021
2004-07-16,18.696057
2004-07-19,18.687234
2004-07-20,18.649861
2004-07-21,18.41088
2004-07-22,18.263162
2004-07-23,18.04092
2004-07-26,17.983925
2004-07-27,18.124222
2004-07-28,18.100269
2004-07-29,17.870911
2004-07-30,17.849738
2004-08-02,17.953735
2004-08-03,17.847973
2004-08-04,17.904109
2004-08-05,17.651986
2004-08-06,17.474738
2004-08-09,17.496842
2004-08-10,17.662789
2004-08-11,17.766542
2004-08-12,17.625728
2004-08-13,17.676876
2004-08-16,17.798617
2004-08-17,17.861803
2004-08-18,17.927652
2004-08-19,17.868845
2004-08-20,17.92141
2004-08-23,17.855924
2004-08-24,17.866958
2004-08-25,17.937033
2004-08-26,17.966003
2004-08-27,17.977948
2004-08-30,17.880546
2004-08-31,17.921421
2004-09-01,17.925619
2004-09-02,18.104611
2004-09-03,18.17029
2004-09-07,18.211969
2004-09-08,18.016085
2004-09-09,17.962303
2004-09-10,18.023853
2004-09-13,17.975
2004-09-14,17.980824
2004-09-15,17.878285
2004-09-16,17.785384
2004-09-17,17.862853
2004-09-20,17.624613
2004-09-21,17.574202
2004-09-22,17.397155
2004-09-23,17.467293
2004-09-24,17.447073
2004-09-27,17.348316
2004-09-28,17.451133
2004-09-29,17.538918
2004-09-30,17.527435
2004-10-01,17.686881
2004-10-04,17.706556
2004-10-05,17.667688
2004-10-06,17.745284
2004-10-07,17.571023
2004-10-08,17.455272
2004-10-11,17.460883
2004-10-12,17.403222
2004-10-13,17.332468
2004-10-14,17.259976
2004-10-15,17.377756
2004-10-18,17.45735
2004-10-19,17.342327
2004-10-20,17.354529
2004-10-21,17.314602
2004-10-22,17.194617
2004-10-25,17.056111
2004-10-26,17.239992
2004-10-27,17.320645
2004-10-28,17.38075
2004-10-29,17.342368
2004-11-01,17.313447
2004-11-02,17.373646
2004-11-03,17.575136
2004-11-04,18.041508
2004-11-05,18.103427
2004-11-08,18.076915
2004-11-09,18.045269
2004-11-10,18.071065
2004-11-11,18.237849
2004-11-12,18.340783
2004-11-15,18.355745
2004-11-16,18.135714
2004-11-17,18.211738
2004-11-18,18.21658
2004-11-19,18.011807
2004-11-22,18.104199
2004-11-23,18.051341
2004-11-24,18.054375
2004-11-26,18.062697
2004-11-29,17.922066
2004-11-30,17.765235
2004-12-01,18.044569
2004-12-02,18.203215
2004-12-03,18.179951
2004-12-06,18.051772
2004-12-07,17.997248
2004-12-08,18.073363
2004-12-09,18.28503
2004-12-10,18.284994
2004-12-13,18.371564
2004-12-14,18.524417
2004-12-15,18.504019
2004-12-16,18.466185
2004-12-17,18.3481
2004-12-20,18.372747
2004-12-21,18.502036
2004-12-22,18.559228
2004-12-23,18.502822
2004-12-27,18.436038
2004-12-28,18.562512
2004-12-29,18.533712
2004-12-30,18.539936
2004-12-31,18.501158
2005-01-03,18.409132
2005-01-04,18.30081
2005-01-05,18.286442
2005-01-06,18.384492
2005-01-07,18.475003
2005-01-10,18.591707
2005-01-11,18.474212
2005-01-12,18.535662
2005-01-13,18.415426
2005-01-14,18.531851
2005-01-18,18.724622
2005-01-19,18.69086
2005-01-20,18.63785
2005-01-21,18.488681
2005-01-24,18.437736
2005-01-25,18.508877
2005-01-26,18.39753
2005-01-27,18.466854
2005-01-28,18.502167
2005-01-31,18.473424
2005-02-01,18.478007
2005-02-02,18.591877
2005-02-03,18.606369
2005-02-04,18.762605
2005-02-07,18.692993
2005-02-08,18.667122
2005-02-09,18.493469
2005-02-10,18.537123
2005-02-11,18.5749
2005-02-14,18.601111
2005-02-15,18.651921
2005-02-16,18.635586
2005-02-17,18.377737
2005-02-18,18.368308
2005-02-22,18.066559
2005-02-23,18.139844
2005-02-24,18.230428
2005-02-25,18.317066
2005-02-28,18.259426
2005-03-01,18.418546
2005-03-02,18.37099
2005-03-03,18.434386
2005-03-04,18.524941
2005-03-07,18.472781
2005-03-08,18.377661
2005-03-09,18.248265
2005-03-10,18.291367
2005-03-11,18.134239
2005-03-14,18.185161
2005-03-15,18.094216
2005-03-16,18.019506
2005-03-17,18.108086
2005-03-18,18.066458
2005-03-21,17.917645
2005-03-22,17.817526
2005-03-23,17.92189
2005-03-24,17.868854
2005-03-28,17.9159
2005-03-29,17.860855
2005-03-30,18.093441
2005-03-31,18.004014
2005-04-01,17.821594
2005-04-04,17.922887
2005-04-05,18.06328
2005-04-06,18.025946
2005-04-07,18.149093
2005-04-08,18.058856
2005-04-11,18.093781
2005-04-12,18.140383
2005-04-13,18.088385
2005-04-14,18.019615
2005-04-15,17.838818
2005-04-18,17.748418
2005-04-19,17.739714
2005-04-20,17.462992
2005-04-21,17.749413
2005-04-22,17.580172
2005-04-25,17.729622
2005-04-26,17.611341
2005-04-27,17.683487
2005-04-28,17.544622
2005-04-29,17.641795
2005-05-02,17.774719
2005-05-03,17.849594
2005-05-04,17.965171
2005-05-05,17.890325
2005-05-06,17.861619
2005-05-09,17.952769
2005-05-10,17.835228
2005-05-11,17.898474
2005-05-12,17.782382
2005-05-13,17.649806
2005-05-16,17.830274
2005-05-17,17.904292
2005-05-18,18.079766
2005-05-19,18.160462
2005-05-20,18.15292
2005-05-23,18.174677
2005-05-24,18.130663
2005-05-25,18.074296
2005-05-26,18.080107
2005-05-27,18.037223
2005-05-31,17.931635
2005-06-01,18.08263
2005-06-02,18.135211
2005-06-03,17.963807
2005-06-06,17.966882
2005-06-07,18.05617
2005-06-08,18.012131
2005-06-09,18.016476
2005-06-10,17.996183
2005-06-13,17.950348
2005-06-14,18.009036
2005-06-15,18.005108
2005-06-16,17.983164
2005-06-17,18.004927
2005-06-20,17.989819
2005-06-21,17.981788
2005-06-22,17.957715
2005-06-23,17.735173
2005-06-24,17.535522
2005-06-27,17.538415
2005-06-28,17.751264
2005-06-29,17.715642
2005-06-30,17.564827
2005-07-01,17.60863
2005-07-05,17.724793
2005-07-06,17.552717
2005-07-07,17.508808
2005-07-08,17.725721
2005-07-11,17.833058
2005-07-12,17.833643
2005-07-13,17.901785
2005-07-14,18.015231
2005-07-15,18.00335
2005-07-18,17.9255
2005-07-19,17.941847
2005-07-20,17.99044
2005-07-21,17.806269
2005-07-22,17.848595
2005-07-25,17.78877
2005-07-26,17.821482
2005-07-27,17.86346
2005-07-28,18.017986
2005-07-29,17.882824
2005-08-01,17.800073
2005-08-02,17.891761
2005-08-03,17.92099
2005-08-04,17.776336
2005-08-05,17.697862
2005-08-08,17.64737
2005-08-09,17.697508
2005-08-10,17.670246
2005-08-11,17.706745
2005-08-12,17.628444
2005-08-15,17.741062
2005-08-16,17.496295
2005-08-17,17.50774
2005-08-18,17.678566
2005-08-19,17.641393
2005-08-22,17.687611
2005-08-23,17.669451
2005-08-24,17.496123
2005-08-25,17.516292
2005-08-26,17.470099
2005-08-29,17.601413
2005-08-30,17.499461
2005-08-31,17.58189
2005-09-01,17.558441
2005-09-02,17.542144
2005-09-06,17.761084
2005-09-07,17.73917
2005-09-08,17.68082
2005-09-09,17.775375
