date,top3,bot3,spread,ew,ic,top_names,bot_names
2005-09-30,-0.04164607293819481,-0.01043966123863412,-0.03120641169956069,-0.023841200576394557,-0.3666666666666667,"XLE,XLI,XLY","XLB,XLF,XLU"
2005-10-31,0.037680885175843004,0.040878608186280085,-0.0031977230104370813,0.035565593470153374,0.049999999999999996,"XLE,XLI,XLY","XLB,XLU,XLF"
2005-11-30,0.01709250386639738,0.003479076808705591,0.013613427057691788,0.0021557382794381327,0.19999999999999998,"XLE,XLI,XLV","XLP,XLB,XLF"
2005-12-31,0.07593456115936625,0.007827334301015343,0.06810722685835091,0.03290291182330843,0.8166666666666667,"XLE,XLB,XLK","XLP,XLV,XLF"
2006-03-31,0.023307162559342103,-0.0002458996715372086,0.023553062230879312,0.016132370820586286,0.2333333333333333,"XLB,XLY,XLI","XLV,XLK,XLF"
2006-04-30,-0.02599782041567315,-0.03352720642817967,0.007529386012506519,-0.023022754556809428,0.16666666666666669,"XLB,XLY,XLV","XLP,XLK,XLF"
2006-05-31,0.005583657118981011,-0.0007723936358891385,0.00635605075487015,0.003579588197073035,0.35,"XLB,XLV,XLE","XLP,XLK,XLF"
2006-06-30,-0.005354390526758753,0.028864952338656085,-0.03421934286541484,0.002350447087586052,-0.18333333333333335,"XLB,XLV,XLY","XLU,XLP,XLF"
2006-12-31,0.02383833684919316,0.011463311995662343,0.012375024853530816,0.017495148080647744,0.35,"XLV,XLI,XLK","XLU,XLF,XLY"
2007-01-31,-0.020447937493748847,-0.026955106245977262,0.006507168752228416,-0.008646145158966187,0.39999999999999997,"XLV,XLI,XLK","XLE,XLF,XLY"
2007-02-28,0.005433313208465518,0.028809324294366705,-0.023376011085901188,0.014902436200944435,-0.26666666666666666,"XLV,XLK,XLI","XLU,XLF,XLE"
2007-03-31,0.055563035371968716,0.03788662010080612,0.017676415271162593,0.0413988689376148,0.2833333333333333,"XLV,XLI,XLK","XLY,XLF,XLE"
2007-05-31,-0.009429424178716506,-0.024420380928861785,0.014990956750145279,-0.019778204741738376,0.21666666666666667,"XLV,XLE,XLI","XLF,XLK,XLP"
2007-06-30,-0.02529981505264689,-0.03975924029185537,0.014459425239208477,-0.031651267012000286,0.06666666666666667,"XLV,XLE,XLP","XLB,XLK,XLF"
2007-07-31,0.021888797012524552,0.015947305090224278,0.0059414919223002745,0.013215735611136203,0.09999999999999999,"XLV,XLP,XLK","XLY,XLU,XLF"
2008-02-29,0.004506401550995391,-0.020817186962543976,0.02532358851353937,-0.00652845566123925,0.15,"XLV,XLI,XLP","XLE,XLB,XLY"
2008-04-30,0.03381221036131402,0.03839681896245165,-0.00458460860113763,0.02456209920570292,-0.18333333333333335,"XLP,XLV,XLB","XLE,XLU,XLY"
2008-05-31,-0.07132621655026428,-0.06281996528367262,-0.008506251266591658,-0.07396715036580917,0.16666666666666669,"XLE,XLP,XLF","XLB,XLY,XLU"
2008-06-30,-0.04229803590811402,-0.0316562316227477,-0.010641804285366319,-0.014876218391987273,0.15,"XLE,XLP,XLI","XLB,XLY,XLU"
2008-07-31,0.0192630107606863,0.024701872204088853,-0.005438861443402554,0.014339229298317225,0.08333333333333334,"XLE,XLI,XLP","XLV,XLB,XLY"
2009-02-28,0.08303060179544748,0.09996350510269969,-0.01693290330725221,0.08471233417113266,-0.13333333333333333,"XLF,XLP,XLV","XLE,XLB,XLY"
2009-03-31,0.08644915554549108,0.1397395504060225,-0.05329039486053143,0.1083716862994353,-0.2333333333333333,"XLF,XLP,XLV","XLE,XLB,XLY"
2009-04-30,0.08631321738487796,0.060003979503441794,0.026309237881436166,0.059030848287459574,0.39999999999999997,"XLV,XLP,XLF","XLE,XLB,XLY"
2009-05-31,0.003743367265605387,-0.04590175899777075,0.04964512626337614,-0.0071021885253605855,0.48333333333333334,"XLY,XLP,XLV","XLI,XLE,XLB"
2009-06-30,0.08337713914186924,0.08986661098515396,-0.0064894718432847165,0.0776105639640944,0.0,"XLY,XLP,XLF","XLI,XLE,XLB"
2009-07-31,0.05911940507483656,0.02743308561168223,0.03168631946315433,0.034759220944311914,0.25,"XLY,XLF,XLP","XLB,XLE,XLI"
2009-12-31,-0.04182606139748254,-0.04823162870576928,0.006405567308286744,-0.03630266218460971,-0.049999999999999996,"XLB,XLY,XLP","XLK,XLE,XLI"
2010-01-31,0.045213692455087294,0.0383649263489955,0.006848766106091794,0.030736526332408406,0.16666666666666669,"XLY,XLK,XLB","XLE,XLP,XLI"
2010-02-28,0.0726160132821978,0.06891039887314261,0.0037056144090551885,0.05547941003738926,-0.06666666666666667,"XLY,XLK,XLB","XLF,XLI,XLP"
2010-03-31,0.024970039410192307,0.014999753744864655,0.009970285665327651,0.016539294399690065,0.18333333333333335,"XLY,XLK,XLB","XLF,XLP,XLI"
2010-04-30,-0.08016743766404462,-0.07931914207144079,-0.000848295592603826,-0.07826466227792034,-0.19999999999999998,"XLB,XLY,XLK","XLU,XLI,XLF"
2010-10-31,0.007391988517177188,-0.0175932586674505,0.02498524718462769,0.0011449395378961096,0.6,"XLY,XLI,XLK","XLP,XLF,XLU"
2010-11-30,0.06704173867167966,0.056351471017350795,0.010690267654328865,0.061214624186123286,0.06666666666666667,"XLY,XLB,XLI","XLP,XLF,XLU"
2010-12-31,0.008797197411614813,0.008557089944715194,0.00024010746689961948,0.018762325586590425,-0.08333333333333334,"XLB,XLY,XLK","XLP,XLU,XLF"
2011-01-31,0.040716860722564675,0.0229410854676253,0.017775775254939376,0.033716617451084216,0.15,"XLB,XLK,XLE","XLP,XLU,XLF"
2011-02-28,0.0035908158922636955,-0.0060861546217535105,0.009676970514017206,0.002127894463318526,0.35,"XLB,XLK,XLE","XLP,XLU,XLF"
2011-03-31,0.018828871803313163,0.031114713193247916,-0.012285841389934753,0.03110187481737729,-0.3,"XLB,XLE,XLK","XLP,XLU,XLF"
