date,adj_close,split_adj_close
2002-01-02,33.798095703125,40.11000061035156
2002-01-03,34.9693489074707,41.5
2002-01-04,35.11259841918945,41.66999816894531
2002-01-07,34.72499465942383,41.209999084472656
2002-01-08,34.960933685302734,41.4900016784668
2002-01-09,34.640716552734375,41.11000061035156
2002-01-10,34.86823272705078,41.380001068115234
2002-01-11,34.4216423034668,40.849998474121094
2002-01-14,33.67170715332031,39.959999084472656
2002-01-15,33.99190139770508,40.34000015258789
2002-01-16,32.67738723754883,38.779998779296875
2002-01-17,33.410491943359375,39.650001525878906
2002-01-18,32.51728820800781,38.59000015258789
2002-01-22,31.51453971862793,37.400001525878906
2002-01-23,32.38246536254883,38.43000030517578
2002-01-24,32.812217712402344,38.939998626708984
2002-01-25,32.71952438354492,38.83000183105469
2002-01-28,32.90489959716797,39.04999923706055
2002-01-29,32.003257751464844,37.97999954223633
2002-01-30,32.247650146484375,38.27000045776367
2002-01-31,32.44987487792969,38.5099983215332
2002-02-01,32.13811111450195,38.13999938964844
2002-02-04,31.11009979248047,36.91999816894531
2002-02-05,30.59608268737793,36.310001373291016
2002-02-06,30.385414123535156,36.060001373291016
2002-02-07,29.65232276916504,35.189998626708984
2002-02-08,30.478105545043945,36.16999816894531
2002-02-11,30.865726470947266,36.630001068115234
2002-02-12,30.6129093170166,36.33000183105469
2002-02-13,31.135372161865234,36.95000076293945
2002-02-14,31.076358795166016,36.880001068115234
2002-02-15,30.14948081970215,35.779998779296875
2002-02-19,29.222583770751953,34.68000030517578
2002-02-20,29.61863136291504,35.150001525878906
2002-02-21,28.21141815185547,33.47999954223633
2002-02-22,28.35466957092285,33.650001525878906
2002-02-25,29.50065040588379,35.0099983215332
2002-02-26,29.391109466552734,34.880001068115234
2002-02-27,28.986652374267578,34.400001525878906
2002-02-28,28.464218139648438,33.779998779296875
2002-03-01,30.115774154663086,35.7400016784668
2002-03-04,31.30389976501465,37.150001525878906
2002-03-05,31.53140640258789,37.41999816894531
2002-03-06,31.683086395263672,37.599998474121094
2002-03-07,31.75048065185547,37.68000030517578
2002-03-08,32.58468246459961,38.66999816894531
2002-03-11,32.46673583984375,38.529998779296875
2002-03-12,32.0201301574707,38.0
2002-03-13,31.244905471801758,37.08000183105469
2002-03-14,31.059524536132812,36.86000061035156
2002-03-15,31.371294021606445,37.22999954223633
2002-03-18,31.54825782775879,37.439998626708984
2002-03-19,31.49770736694336,37.380001068115234
2002-03-20,30.385414123535156,36.060001373291016
2002-03-21,31.194358825683594,37.02000045776367
2002-03-22,30.907861709594727,36.68000030517578
2002-03-25,29.964096069335938,35.560001373291016
2002-03-26,30.242183685302734,35.88999938964844
2002-03-27,30.0062313079834,35.61000061035156
2002-03-28,30.385414123535156,36.060001373291016
2002-04-01,30.966848373413086,36.75
2002-04-02,29.56806755065918,35.09000015258789
2002-04-03,29.517507553100586,35.029998779296875
2002-04-04,29.290006637573242,34.7599983215332
2002-04-05,28.961362838745117,34.369998931884766
2002-04-08,29.323701858520508,34.79999923706055
2002-04-09,28.304107666015625,33.59000015258789
2002-04-10,28.51476287841797,33.84000015258789
2002-04-11,27.806964874267578,33.0
2002-04-12,28.245132446289062,33.52000045776367
2002-04-15,28.472644805908203,33.790000915527344
2002-04-16,29.6607608795166,35.20000076293945
2002-04-17,29.50907325744629,35.02000045776367
