date,adj_close,split_adj_close
2002-01-02,13.07368278503418,21.340373992919922
2002-01-03,13.163252830505371,21.486595153808594
2002-01-04,13.337431907653809,21.770917892456055
2002-01-07,13.302594184875488,21.714054107666016
2002-01-08,13.118462562561035,21.413484573364258
2002-01-09,13.188139915466309,21.52721405029297
2002-01-10,13.138371467590332,21.44597816467285
2002-01-11,13.06371784210205,21.324127197265625
2002-01-14,12.964186668395996,21.161657333374023
2002-01-15,13.24785327911377,21.62469482421875
2002-01-16,13.083621978759766,21.35662078857422
2002-01-17,13.208040237426758,21.559707641601562
2002-01-18,13.158275604248047,21.478473663330078
2002-01-22,13.113482475280762,21.40536117553711
2002-01-23,13.17320442199707,21.502843856811523
2002-01-24,13.188139915466309,21.52721405029297
2002-01-25,13.272746086120605,21.665313720703125
2002-01-28,13.138371467590332,21.44597816467285
2002-01-29,12.56605339050293,20.51177978515625
2002-01-30,12.72530746459961,20.771730422973633
2002-01-31,12.939299583435059,21.12104034423828
2002-02-01,12.780047416687012,20.8610897064209
2002-02-04,12.317217826843262,20.10560417175293
2002-02-05,12.317217826843262,20.10560417175293
2002-02-06,12.143040657043457,19.8212833404541
2002-02-07,12.257498741149902,20.00812339782715
2002-02-08,12.580982208251953,20.536148071289062
2002-02-11,12.690471649169922,20.714866638183594
2002-02-12,12.546144485473633,20.479284286499023
2002-02-13,12.799958229064941,20.89358139038086
2002-02-14,12.775071144104004,20.852964401245117
2002-02-15,12.576007843017578,20.528026580810547
2002-02-19,12.232611656188965,19.967506408691406
2002-02-20,12.461542129516602,20.3411865234375
2002-02-21,12.317217826843262,20.10560417175293
2002-02-22,12.242568969726562,19.983753204345703
2002-02-25,12.556099891662598,20.49553108215332
2002-02-26,12.546144485473633,20.479284286499023
2002-02-27,12.675542831420898,20.69049644470215
2002-02-28,12.715353965759277,20.755483627319336
2002-03-01,12.889534950256348,21.039804458618164
2002-03-04,13.32747745513916,21.754671096801758
2002-03-05,13.337431907653809,21.770917892456055
2002-03-06,13.561380386352539,22.136474609375
2002-03-07,13.441946029663086,21.941511154174805
